timestamp,method,cx,cy,area,sim_enabled,action
1768253843.452527,motion,600,629,1509600.00,False,
1768253843.6275208,motion,692,940,881.00,False,
1768253843.682856,motion,325,748,881.00,False,
1768253843.7373486,motion,305,648,881.00,False,
1768253843.79394,motion,320,535,881.00,False,
1768253843.8505855,motion,373,435,881.00,False,
1768253843.9032845,motion,444,368,881.00,False,
1768253843.9574573,motion,537,326,881.00,False,
1768253844.0280995,motion,646,319,881.00,False,
1768253844.10086,motion,769,362,881.00,False,
1768253844.17207,motion,865,456,881.00,False,
1768253844.2351494,motion,914,582,881.00,False,
1768253844.3022933,motion,910,706,881.00,False,
1768253844.365221,motion,860,820,881.00,False,
1768253844.4209173,motion,783,897,881.00,False,
1768253844.4767594,motion,676,943,641.00,False,
1768253844.5388446,motion,573,949,881.00,False,
1768253844.6056068,motion,469,915,881.00,False,
1768253844.7050483,motion,370,829,881.00,False,
1768253844.7821748,motion,306,664,881.00,False,
1768253844.8408432,motion,331,505,881.00,False,
1768253844.8859453,motion,384,421,881.00,False,
1768253844.9335418,motion,453,362,881.00,False,
1768253844.9796922,motion,534,327,881.00,False,
1768253845.0280712,motion,621,317,881.00,False,
1768253845.078277,motion,707,332,881.00,False,
1768253845.1330726,motion,795,380,881.00,False,
1768253845.1849804,motion,864,453,881.00,False,
1768253845.234495,motion,906,546,881.00,False,
1768253845.283033,motion,918,637,881.00,False,
1768253845.3296287,motion,904,729,881.00,False,
1768253845.3751807,motion,867,809,881.00,False,
1768253845.4218755,motion,809,877,881.00,False,
1768253845.4680786,motion,736,924,881.00,False,
1768253845.5168688,motion,652,949,881.00,False,
1768253845.566806,motion,562,947,881.00,False,
1768253845.6177485,motion,470,916,881.00,False,
1768253845.6673796,motion,398,862,881.00,False,
1768253845.717936,motion,340,781,881.00,False,
1768253845.7638233,motion,311,696,881.00,False,
1768253845.813954,motion,307,597,881.00,False,
1768253845.8677714,motion,331,506,881.00,False,
1768253845.9171474,motion,386,419,881.00,False,
1768253845.9640121,motion,460,358,881.00,False,
1768253846.0127034,motion,533,327,881.00,False,
1768253846.0655413,motion,631,317,881.00,False,
1768253846.1139753,motion,717,336,881.00,False,
1768253846.1687286,motion,803,386,881.00,False,
1768253846.2227502,motion,869,462,881.00,False,
1768253846.2684364,motion,909,556,881.00,False,
1768253846.3186278,motion,918,646,881.00,False,
1768253846.364642,motion,900,741,881.00,False,
1768253846.4118881,motion,860,819,881.00,False,
1768253846.4561985,motion,801,884,881.00,False,
1768253846.5025659,motion,727,928,881.00,False,
1768253846.5504932,motion,642,950,881.00,False,
1768253846.5976672,motion,552,946,881.00,False,
1768253846.6481004,motion,471,916,881.00,False,
1768253846.701191,motion,392,856,881.00,False,
1768253846.7519624,motion,335,772,881.00,False,
1768253846.7982674,motion,308,683,881.00,False,
1768253846.8457084,motion,307,593,881.00,False,
1768253846.893708,motion,332,503,881.00,False,
1768253846.9406803,motion,379,427,881.00,False,
1768253846.9841871,motion,444,368,881.00,False,
1768253847.0350616,motion,523,330,881.00,False,
1768253847.0811422,motion,610,317,881.00,False,
1768253847.1294677,motion,697,329,881.00,False,
1768253847.1753929,motion,777,366,881.00,False,
1768253847.2212212,motion,843,426,881.00,False,
1768253847.2709801,motion,890,502,881.00,False,
1768253847.326938,motion,917,601,881.00,False,
1768253847.3740168,motion,911,703,881.00,False,
1768253847.4242349,motion,879,789,881.00,False,
1768253847.4738932,motion,819,868,881.00,False,
1768253847.5196314,motion,755,915,881.00,False,
1768253847.568619,motion,661,947,881.00,False,
1768253847.6172605,motion,575,949,881.00,False,
1768253847.6675267,motion,491,926,881.00,False,
1768253847.7178285,motion,407,871,881.00,False,
1768253847.764985,motion,351,802,881.00,False,
1768253847.8122008,motion,315,716,881.00,False,
1768253847.8607967,motion,305,628,881.00,False,
1768253847.9101624,motion,322,528,881.00,False,
1768253847.9562845,motion,363,447,881.00,False,
1768253848.001686,motion,426,381,881.00,False,
1768253848.0540004,motion,501,338,881.00,False,
1768253848.1000092,motion,590,317,881.00,False,
1768253848.147963,motion,679,324,881.00,False,
1768253848.201268,motion,774,365,881.00,False,
1768253848.251933,motion,842,425,881.00,False,
1768253848.2970922,motion,891,503,881.00,False,
1768253848.347996,motion,915,590,881.00,False,
1768253848.4023647,motion,913,692,881.00,False,
1768253848.4508593,motion,880,787,881.00,False,
1768253848.498731,motion,826,861,881.00,False,
1768253848.5460813,motion,754,915,881.00,False,
1768253848.592256,motion,674,945,794.00,False,
1768253848.6379604,motion,595,951,881.00,False,
1768253848.686105,motion,500,930,881.00,False,
1768253848.734337,motion,424,885,881.00,False,
1768253848.783182,motion,362,818,881.00,False,
1768253848.8321474,motion,322,740,881.00,False,
1768253848.8819387,motion,305,643,881.00,False,
1768253848.9297502,motion,316,549,881.00,False,
1768253848.9799144,motion,352,464,881.00,False,
1768253849.03412,motion,415,390,881.00,False,
1768253849.0843549,motion,500,338,881.00,False,
1768253849.1373003,motion,597,317,881.00,False,
1768253849.18678,motion,693,328,881.00,False,
1768253849.2370963,motion,775,365,881.00,False,
1768253849.2853148,motion,849,433,881.00,False,
1768253849.334191,motion,894,511,881.00,False,
1768253849.3843625,motion,917,600,881.00,False,
1768253849.4352117,motion,912,699,881.00,False,
1768253849.4850676,motion,881,786,881.00,False,
1768253849.5362117,motion,820,867,881.00,False,
1768253849.5818963,motion,750,917,881.00,False,
1768253849.6286845,motion,665,947,881.00,False,
1768253849.6764154,motion,577,950,881.00,False,
1768253849.7338269,motion,482,922,881.00,False,
1768253849.7880619,motion,401,864,881.00,False,
1768253849.843275,motion,336,773,881.00,False,
1768253849.8910441,motion,307,675,881.00,False,
1768253849.9394622,motion,309,584,881.00,False,
1768253849.986192,motion,335,497,881.00,False,
1768253850.0322716,motion,383,422,881.00,False,
1768253850.0819595,motion,451,364,881.00,False,
1768253850.1317568,motion,531,328,881.00,False,
1768253850.184505,motion,629,317,881.00,False,
1768253850.2363875,motion,724,339,881.00,False,
1768253850.2865484,motion,810,392,881.00,False,
1768253850.333596,motion,868,460,881.00,False,
1768253850.3846722,motion,905,543,881.00,False,
1768253850.4342,motion,918,642,881.00,False,
1768253850.4836724,motion,903,733,881.00,False,
1768253850.5354905,motion,858,822,881.00,False,
1768253850.584758,motion,794,889,881.00,False,
1768253850.6349533,motion,708,935,881.00,False,
1768253850.683261,motion,619,951,881.00,False,
1768253850.7285135,motion,534,941,881.00,False,
1768253850.7739224,motion,453,906,881.00,False,
1768253850.8197687,motion,392,856,881.00,False,
1768253850.8719196,motion,336,774,881.00,False,
1768253850.9249022,motion,307,676,881.00,False,
1768253850.9778557,motion,310,576,881.00,False,
1768253851.033029,motion,345,478,881.00,False,
1768253851.082628,motion,408,397,881.00,False,
1768253851.1326697,motion,479,348,881.00,False,
1768253851.1838796,motion,574,319,881.00,False,
1768253851.2464473,motion,673,323,881.00,False,
1768253851.295706,motion,775,365,881.00,False,
1768253851.3534038,motion,849,433,881.00,False,
1768253851.4087157,motion,901,531,881.00,False,
1768253851.459592,motion,918,635,881.00,False,
